clean_work_id,stage,year,Reference_Count,InternalRef_Total,InternalRef_Matched,InternalRef_HSS_Matched,InternalRef_Coverage,HSS_Reference_Share_Internal_MatchedBase,HSS_Reference_Share_Internal_TotalBase,RefMeta_Total,RefMeta_Matched,RefMeta_Coverage,Mean_Reference_Age,Median_Reference_Age,Recent_Reference_Share_3y,Mean_Log_Ref_Citations,Median_Log_Ref_Citations
W2951652470,Phase1,2016,27,27.0,7.0,5.0,0.25925925925925924,0.7142857142857143,0.18518518518518517,27.0,7.0,0.25925925925925924,0.7142857142857143,0.0,1.0,6.639327422697309,7.195187320178709
W2428952132,Phase1,2016,28,28.0,4.0,0.0,0.14285714285714285,0.0,0.0,28.0,4.0,0.14285714285714285,1.25,1.0,1.0,6.405580171472231,6.676467635073497
W1852909287,Phase1,2015,40,40.0,0.0,0.0,0.0,,0.0,40.0,0.0,0.0,,,,,
W2560678327,Phase1,2016,17,17.0,1.0,0.0,0.058823529411764705,0.0,0.0,17.0,1.0,0.058823529411764705,2.0,2.0,1.0,9.09133158539398,9.09133158539398
W4300111288,Phase1,2014,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2287889828,Phase1,2015,58,58.0,3.0,2.0,0.05172413793103448,0.6666666666666666,0.034482758620689655,58.0,3.0,0.05172413793103448,0.6666666666666666,1.0,1.0,6.897847161720765,7.16703787691222
W2275365310,Phase1,2016,46,46.0,6.0,0.0,0.13043478260869565,0.0,0.0,46.0,6.0,0.13043478260869565,1.4,1.0,1.0,6.184144051629879,7.165094375522877
W2534135591,Phase1,2016,41,41.0,3.0,2.0,0.07317073170731707,0.6666666666666666,0.04878048780487805,41.0,3.0,0.07317073170731707,0.3333333333333333,0.0,1.0,7.132795396741199,7.232010331664759
W4294575421,Phase1,2016,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W1956526898,Phase1,2015,29,29.0,2.0,0.0,0.06896551724137931,0.0,0.0,29.0,2.0,0.06896551724137931,0.5,0.5,1.0,6.260259177625585,6.260259177625585
W2559978439,Phase1,2016,26,26.0,12.0,8.0,0.46153846153846156,0.6666666666666666,0.3076923076923077,26.0,12.0,0.46153846153846156,0.3333333333333333,0.0,1.0,7.058090935595668,7.058915605827298
W2537265010,Phase1,2016,20,20.0,1.0,1.0,0.05,1.0,0.05,20.0,1.0,0.05,1.0,1.0,1.0,4.962844630259907,4.962844630259907
W2562887561,Phase1,2016,28,28.0,8.0,5.0,0.2857142857142857,0.625,0.17857142857142858,28.0,8.0,0.2857142857142857,0.0,0.0,1.0,5.944318051283873,5.438268309114446
W2100820448,Phase1,2015,35,35.0,0.0,0.0,0.0,,0.0,35.0,0.0,0.0,,,,,
W2343436474,Phase1,2016,31,31.0,0.0,0.0,0.0,,0.0,31.0,0.0,0.0,,,,,
W2950428484,Phase1,2016,28,28.0,7.0,4.0,0.25,0.5714285714285714,0.14285714285714285,28.0,7.0,0.25,0.5,0.5,1.0,7.705814609559737,7.4127640174265625
W2241785942,Phase1,2015,32,32.0,3.0,1.0,0.09375,0.3333333333333333,0.03125,32.0,3.0,0.09375,0.6666666666666666,1.0,1.0,6.553816626278583,7.16703787691222
W2584471052,Phase1,2016,14,14.0,1.0,0.0,0.07142857142857142,0.0,0.0,14.0,1.0,0.07142857142857142,0.0,0.0,1.0,4.852030263919617,4.852030263919617
W2147591838,Phase1,2015,31,31.0,0.0,0.0,0.0,,0.0,31.0,0.0,0.0,,,,,
W2174412056,Phase1,2015,28,28.0,2.0,1.0,0.07142857142857142,0.5,0.03571428571428571,28.0,2.0,0.07142857142857142,0.5,0.5,1.0,7.132145275379191,7.132145275379191
W2555417674,Phase1,2016,12,12.0,5.0,2.0,0.4166666666666667,0.4,0.16666666666666666,12.0,5.0,0.4166666666666667,0.6,1.0,1.0,6.101761453126,5.940171252720432
W2950011704,Phase1,2016,15,15.0,2.0,1.0,0.13333333333333333,0.5,0.06666666666666667,15.0,2.0,0.13333333333333333,,,,9.089595131150427,9.089595131150427
W2952250911,Phase1,2014,20,20.0,0.0,0.0,0.0,,0.0,20.0,0.0,0.0,,,,,
